ID,Name,Number,Email,Check in Date,Cancellation Date,No. of Rooms, Room Types, Total Cost,Deposit,Advanced
1575220097,Ryan Kennedy,863215378, ryan.ken12@gmail.com,2023-12-02,0,1,Bring the Family Suite_5_false/,285.0,42.75,true
1575222603,Enda Lynch,834782190, lynchy9123@yahoo.com,2022-04-03,0,1,Two to Tango Suite_2_false/,1140.0,171.0,true
1575222759,Mike Kennedy,862391840, kennyMike@gmail.com,2022-09-06,0,1,Bring the Family Suite_5_false/,300.0,45.0,false
1575223479,Perry Kelly,842738012, kelly7@gmail.com,2022-03-03,0,2,Bring the Family Suite_5_false/Bring the Family Suite_5_false/,475.0,71.25,true
1575223643,Dallas Matthews,859206378, dallamat8@gmail.com,2024-03-04,0,2,Two to Tango Suite_2_false/Bachelor Suite_1_false/,142.5,21.375,true
1575224019,Laurie Bradley,862389120, bradlaurie@yahoo.com,2023-03-03,0,1,Two to Tango Suite_2_false/,300.0,45.0,false
1575224449,Jackie Hunt,892340123, jackie.h2@gmail.com,2023-03-03,0,1,Two to Tango Suite_2_false/,200.0,30.0,false
1575224219,Shannon Reese,842139703, shannon.r701@gmail.com,2023-03-03,0,1,Bring the Family Suite_5_false/,237.5,35.625,true
1575224263,Grace Park,874216891, park.g99@gmail.com,2039-02-03,0,2,Bring the Family Suite_5_false/Bring the Family Suite_5_false/,950.0,142.5,true
1575224392,Karen Lowe,854206969, k.low420@gmail.com,2020-03-03,0,2,Two to Tango Suite_2_false/Bachelor Suite_1_false/,100.0,15.0,false
1575224421,Erika Clarke,821678218, erika99@gmail.com,2023-03-03,0,1,Bring the Family Suite_5_false/,100.0,15.0,false
1575224472,Ryan Kennedy,872579203, r.keny7@gmail.com,2023-03-03,0,1,Two to Tango Suite_2_false/,150.0,22.5,false
1575224491,Eddie Walsh,842980326, waldie2@gmail.com,2030-03-03,0,1,Bring the Family Suite_5_false/,300.0,45.0,false
1575225468,Maggie Elliott,827896380, magelli@gmail.com,2020-03-03,0,1,Two to Tango Suite_2_false/,450.0,67.5,false
